action,action_reason,classification_confidence,classification_status,dispute_id,elapsed_s,expected_outcome,failure_kind,final_score,friendly_fraud_suspect,outcome,predicted_category,suspicion_score,true_category,vague_description,verdict
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-000126,0.044,favor_merchant,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-000486,0.042,escalate,wrong_verdict,0.311,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-000870,0.038,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-000910,0.073,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-001207,0.044,escalate,wrong_verdict,0.371,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-001616,0.038,escalate,wrong_verdict,0.371,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-002178,0.041,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-002256,0.042,escalate,wrong_verdict,0.381,False,favor_cardholder,QD-06,0.0,QD-06,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-002721,0.041,escalate,wrong_verdict,0.304,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-002763,0.04,escalate,wrong_verdict,0.371,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-002893,0.043,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-003080,0.048,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-003334,0.045,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.93,auto_classified,D-003554,0.053,escalate,wrong_verdict,0.381,False,favor_cardholder,QD-06,0.0,QD-06,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-003785,0.046,escalate,wrong_verdict,0.311,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.93,auto_classified,D-003984,0.044,escalate,wrong_verdict,0.381,False,favor_cardholder,QD-06,0.0,QD-06,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-004033,0.045,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-004134,0.044,escalate,wrong_verdict,0.388,False,favor_cardholder,QD-06,0.0,QD-06,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-004730,0.041,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-004909,0.044,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.93,auto_classified,D-005741,0.04,escalate,wrong_verdict,0.388,False,favor_cardholder,QD-06,0.0,QD-06,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-006285,0.045,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-006441,0.041,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
auto_approve,evidence_favors_cardholder,0.93,auto_classified,D-006827,0.04,escalate,wrong_verdict,0.328,False,favor_cardholder,QD-06,0.0,QD-06,,wrong
auto_approve,evidence_favors_cardholder,0.96,auto_classified,D-006915,0.038,escalate,wrong_verdict,0.364,False,favor_cardholder,QD-01,0.0,QD-01,,wrong
escalate_to_analyst,integrity_signals_detected,0.947,auto_classified,D-000000,1.11,favor_cardholder,deferred,0.65,False,escalate,SP-08,0.8,SP-08,,deferred
request_more_evidence,insufficient_evidence,0.93,auto_classified,D-000001,0.059,favor_cardholder,deferred,0.602,False,inconclusive,QD-02,0.0,QD-02,,deferred
escalate_to_analyst,evidence_inconclusive_human_review,0.96,auto_classified,D-000005,0.04,favor_cardholder,deferred,0.019,False,escalate,QD-04,0.0,QD-04,,deferred
escalate_to_analyst,evidence_inconclusive_human_review,0.753,auto_classified,D-000008,0.023,favor_cardholder,deferred,0.24,False,escalate,NR-01,0.0,NR-01,,deferred
request_more_evidence,insufficient_evidence,0.96,auto_classified,D-000011,0.022,favor_cardholder,deferred,0.38,False,inconclusive,NR-01,0.0,NR-01,,deferred
request_more_evidence,insufficient_evidence,0.947,auto_classified,D-000013,0.023,favor_cardholder,deferred,0.086,False,inconclusive,CR-04,0.0,CR-04,,deferred
request_more_evidence,insufficient_evidence,0.93,auto_classified,D-000021,0.044,favor_cardholder,deferred,0.449,False,inconclusive,QD-02,0.0,QD-02,,deferred
