dispute_id,true_category,expected_outcome,action,action_reason,outcome,final_score,suspicion_score,verdict
D-000000,SP-08,favor_cardholder,escalate_to_analyst,integrity_signals_detected,escalate,0.65,0.8,deferred
D-000001,QD-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.602,0.0,deferred
D-000002,CR-05,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000003,CR-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.62,0.0,correct
D-000004,BA-01,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.332,0.0,correct
D-000005,QD-04,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.019,0.0,deferred
D-000006,BA-04,favor_merchant,auto_approve,compliance_override,favor_cardholder,0.085,0.6,correct
D-000007,CR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.318,0.0,correct
D-000008,NR-01,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.24,0.0,deferred
D-000009,BA-07,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.6,0.625,correct
D-000010,NR-02,favor_merchant,auto_approve,compliance_override,favor_cardholder,-0.45,0.0,correct
D-000011,NR-01,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.38,0.0,deferred
D-000012,CR-02,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.12,0.0,correct
D-000013,CR-04,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.086,0.0,deferred
D-000014,NR-01,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000015,NR-01,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.055,0.0,correct
D-000016,CR-03,escalate,request_more_evidence,insufficient_evidence,inconclusive,-0.06,0.0,correct
D-000017,SP-05,escalate,request_more_evidence,insufficient_evidence,inconclusive,-0.085,0.0,correct
D-000018,CR-06,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000019,BA-02,escalate,request_more_evidence,insufficient_evidence,inconclusive,-0.1,0.0,correct
D-000020,BA-01,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.332,0.0,correct
D-000021,QD-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.449,0.0,deferred
D-000022,NR-01,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.225,0.0,deferred
D-000023,NR-01,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.04,0.0,correct
D-000024,CR-05,escalate,request_more_evidence,insufficient_evidence,inconclusive,-0.003,0.0,correct
D-000025,SP-03,escalate,request_more_evidence,insufficient_evidence,inconclusive,-0.053,0.0,correct
D-000026,CR-04,escalate,request_more_evidence,insufficient_evidence,inconclusive,-0.063,0.0,correct
D-000027,NR-01,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.365,0.0,correct
D-000028,CR-04,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,-0.18,0.0,deferred
D-000029,SP-08,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.65,0.0,correct
D-000030,QD-06,escalate,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.208,0.0,correct
D-000031,CR-03,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.5,0.0,correct
D-000032,CR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.302,0.0,correct
D-000033,BA-03,favor_merchant,request_more_evidence,insufficient_evidence,inconclusive,-0.11,0.0,deferred
D-000034,BA-07,escalate,escalate_to_analyst,integrity_signals_detected,escalate,-0.11,0.6,correct
D-000035,CR-02,favor_merchant,escalate_to_analyst,integrity_signals_detected,escalate,-0.5,0.7,deferred
D-000036,QD-01,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.484,0.6,correct
D-000037,CR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.318,0.0,correct
D-000038,BA-04,favor_merchant,auto_deny,compliance_override,favor_merchant,0.205,0.0,correct
D-000039,BA-04,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.19,0.0,correct
D-000040,QD-04,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,0.026,0.0,deferred
D-000041,BA-02,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
D-000042,NR-03,favor_cardholder,auto_approve,compliance_override,favor_cardholder,0.18,0.0,correct
D-000043,QD-06,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.424,0.0,deferred
D-000044,NR-02,escalate,auto_approve,compliance_override,favor_cardholder,-0.45,0.55,correct
D-000045,BA-04,escalate,escalate_to_analyst,integrity_signals_detected,escalate,0.55,0.7,correct
D-000046,CR-03,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.158,0.0,correct
D-000047,CR-05,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.012,0.0,deferred
D-000048,BA-02,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.6,0.0,correct
D-000049,QD-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.524,0.0,deferred
D-000050,BA-08,favor_cardholder,escalate_to_analyst,evidence_inconclusive_human_review,escalate,-0.08,0.0,deferred
D-000051,AR-02,favor_cardholder,request_more_evidence,insufficient_evidence,inconclusive,0.135,0.0,deferred
D-000052,BA-02,escalate,escalate_to_analyst,integrity_signals_detected,escalate,-0.1,0.6,correct
D-000053,NR-01,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.4,0.0,correct
D-000054,SP-08,favor_cardholder,auto_approve,evidence_favors_cardholder,favor_cardholder,0.65,0.0,correct
D-000055,QD-03,escalate,escalate_to_analyst,integrity_signals_detected,escalate,-0.113,0.6,correct
D-000056,BA-01,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.347,0.0,correct
D-000057,CR-01,escalate,request_more_evidence,insufficient_evidence,inconclusive,0.205,0.0,correct
D-000058,BA-06,favor_merchant,represent_chargeback,evidence_favors_merchant,favor_merchant,-0.45,0.0,correct
